# theta_deg base_template rpm_300 rpm_500 rpm_700 rpm_900
-8.4000000000e+01 1.3953926770e-07 2.0686104504e-07 4.4654610364e-07 5.2509834973e-07 4.4520333020e-07
-8.3771905420e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-8.3543810850e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-8.3315716270e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-8.3087621700e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-8.2859527120e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-8.2631432540e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-8.2403337970e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-8.2175243390e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-8.1947148820e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-8.1719054240e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-8.1490959670e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-8.1262865090e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-8.1034770520e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-8.0806675940e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-8.0578581360e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-8.0350486790e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-8.0122392210e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.9894297640e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.9666203060e+01 6.3996509570e-08 1.3131828691e-07 3.7100334551e-07 4.4955559160e-07 3.6966057207e-07
-7.9438108480e+01 1.5615959650e-07 2.2348137384e-07 4.6316643244e-07 5.4171867853e-07 4.6182365900e-07
-7.9210013910e+01 1.2400145690e-07 1.9132323424e-07 4.3100829284e-07 5.0956053893e-07 4.2966551940e-07
-7.8981919330e+01 2.5171196990e-08 9.2492974334e-08 3.3217803293e-07 4.1073027902e-07 3.3083525949e-07
-7.8753824760e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.8525730180e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.8297635600e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.8069541030e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.7841446450e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.7613351880e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.7385257300e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.7157162730e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.6929068150e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.6700973570e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.6472879000e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.6244784420e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.6016689850e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.5788595270e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.5560500700e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.5332406120e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.5104311540e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.4876216970e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.4648122390e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
