# theta_deg base_template rpm_300 rpm_500 rpm_700 rpm_900
-8.4000000000e+01 2.7907853535e-06 2.2907853535e-06 3.0427384785e-06 3.8725724629e-06 3.6362443379e-06
-8.3771905424e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-8.3543810848e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-8.3315716273e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-8.3087621697e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-8.2859527121e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-8.2631432545e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-8.2403337969e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-8.2175243394e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-8.1947148818e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-8.1719054242e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-8.1490959666e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-8.1262865090e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-8.1034770515e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-8.0806675939e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-8.0578581363e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-8.0350486787e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-8.0122392211e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.9894297636e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.9666203060e+01 1.2799301914e-06 7.7993019140e-07 1.5318833164e-06 2.3617173008e-06 2.1253891758e-06
-7.9438108484e+01 3.1231919294e-06 2.6231919294e-06 3.3751450544e-06 4.2049790388e-06 3.9686509138e-06
-7.9210013908e+01 2.4800291385e-06 1.9800291385e-06 2.7319822635e-06 3.5618162479e-06 3.3254881229e-06
-7.8981919332e+01 5.0342393977e-07 3.4239397700e-09 7.5537706477e-07 1.5852110491e-06 1.3488829241e-06
-7.8753824757e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.8525730181e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.8297635605e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.8069541029e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.7841446453e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.7613351878e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.7385257302e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.7157162726e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.6929068150e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.6700973574e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.6472878999e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.6244784423e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.6016689847e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.5788595271e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.5560500695e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.5332406120e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.5104311544e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.4876216968e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.4648122392e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.4420027816e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.4191933241e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.3963838665e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.3735744089e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.3507649513e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.3279554937e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.3051460362e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.2823365786e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.2595271210e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.2367176634e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.2139082058e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.1910987483e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.1682892907e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.1454798331e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.1226703755e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.0998609179e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.0770514604e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.0542420028e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.0314325452e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-7.0086230876e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.9858136300e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.9630041725e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.9401947149e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.9173852573e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.8945757997e+01 2.0216089876e-06 1.5216089876e-06 2.2735621126e-06 3.1033960970e-06 2.8670679720e-06
-6.8717663421e+01 3.7638717471e-06 3.2638717471e-06 4.0158248721e-06 4.8456588565e-06 4.6093307315e-06
-6.8489568846e+01 9.8846215395e-07 4.8846215395e-07 1.2404152790e-06 2.0702492633e-06 1.8339211383e-06
-6.8261474270e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.8033379694e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.7805285118e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.7577190542e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.7349095967e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.7121001391e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.6892906815e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.6664812239e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
