angle_deg	RPM300	RPM500	RPM700	RPM900
-8.4000000000e+01	1.0238812876e-06	1.6645117434e-07	4.1793804515e-07	1.9618640075e-06
-8.3500000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-8.3000000000e+01	3.3132797279e-06	9.6936331875e-07	5.2000265808e-07	2.4344342787e-06
-8.2500000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-8.2000000000e+01	6.5692293285e-06	1.5831075131e-06	4.3998253775e-06	3.7104784717e-06
-8.1500000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-8.1000000000e+01	2.5982993261e-07	4.1777849196e-06	6.2932518049e-07	6.5267648769e-06
-8.0500000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-8.0000000000e+01	3.7137875759e-06	8.5718660767e-08	5.9335789479e-06	2.8654769349e-07
-7.9500000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-7.9000000000e+01	1.0362930999e-06	2.9627264148e-06	5.8547627534e-06	2.7062888910e-06
-7.8500000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-7.8000000000e+01	4.3103213478e-06	6.5138352185e-06	9.5008457559e-07	4.4608886228e-06
-7.7500000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-7.7000000000e+01	2.3119673848e-06	5.1087216808e-06	9.6555552645e-07	4.7919562301e-06
-7.6500000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-7.6000000000e+01	1.1996559638e-07	4.7482412246e-08	4.0661854334e-06	4.8128433369e-06
-7.5500000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-7.5000000000e+01	2.9667293017e-06	4.1567273674e-06	5.5180485503e-06	8.1001445496e-08
-7.4500000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-7.4000000000e+01	4.7134875534e-06	3.0492174442e-06	4.9442099892e-06	9.0261088364e-07
-7.3500000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-7.3000000000e+01	5.9439942930e-06	6.4147551638e-06	1.0864068428e-07	1.5842364928e-07
-7.2500000000e+01	2.5033118328e-06	6.2650461811e-06	2.9311960947e-06	3.3119273831e-06
-7.2000000000e+01	2.7663336084e-06	9.5357997391e-07	8.2563381197e-07	4.7677286759e-06
-7.1500000000e+01	3.0193811198e-07	6.9308131865e-06	6.3355517383e-06	6.4642464631e-06
-7.1000000000e+01	5.3777702198e-06	3.4219133318e-06	2.4469869160e-06	4.6979348415e-06
-7.0500000000e+01	1.5189042349e-06	3.2498114013e-06	2.4852993265e-06	2.2534891378e-07
-7.0000000000e+01	6.0517840898e-06	4.5836906465e-06	2.5826648286e-06	2.0213200488e-06
-6.9500000000e+01	2.3543008333e-06	3.9902053495e-06	3.7227976557e-06	3.3394895002e-06
-6.9000000000e+01	5.7197383410e-06	6.6503580366e-06	3.2474461093e-06	5.7779578455e-06
-6.8500000000e+01	6.4026292263e-06	7.7958613209e-07	5.2487324636e-06	2.9542535397e-06
-6.8000000000e+01	3.8127739790e-06	1.8155045926e-06	4.5611730993e-06	2.2265762092e-06
-6.7500000000e+01	1.3729912713e-06	5.5643533734e-06	4.8620661629e-06	5.7348672263e-06
-6.7000000000e+01	6.7268512740e-06	5.9818690766e-06	5.6480771707e-06	1.7490226003e-06
-6.6500000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-6.6000000000e+01	5.2620749114e-06	2.4432755685e-06	6.3120414714e-07	5.5235263161e-06
