Optimized EHL Solver Init
Step 1/329 | Load err=5.5158e-08 | Res=5.7115e-08 | Iters=11 | Step time=0.360s | Total time=0.4s
Step 2/329 | Load err=2.0810e-08 | Res=4.7131e-08 | Iters=8 | Step time=0.263s | Total time=0.6s
Step 3/329 | Load err=7.8468e-07 | Res=8.0457e-07 | Iters=12 | Step time=0.400s | Total time=1.0s
Step 4/329 | Load err=1.8108e-06 | Res=1.8133e-06 | Iters=12 | Step time=0.401s | Total time=1.4s
Step 5/329 | Load err=3.7836e-07 | Res=3.7874e-07 | Iters=12 | Step time=0.403s | Total time=1.8s
Step 6/329 | Load err=2.2630e-07 | Res=2.3256e-07 | Iters=12 | Step time=0.400s | Total time=2.2s
Step 7/329 | Load err=4.5300e-08 | Res=5.2658e-08 | Iters=4 | Step time=0.133s | Total time=2.4s
Step 8/329 | Load err=2.5026e-07 | Res=2.5047e-07 | Iters=12 | Step time=0.404s | Total time=2.8s
Step 9/329 | Load err=2.7228e-09 | Res=4.8751e-08 | Iters=3 | Step time=0.099s | Total time=2.9s
Step 10/329 | Load err=8.3117e-08 | Res=9.6740e-08 | Iters=3 | Step time=0.100s | Total time=3.0s
Step 11/329 | Load err=3.9728e-09 | Res=4.2818e-09 | Iters=1 | Step time=0.033s | Total time=3.0s
Step 12/329 | Load err=2.3744e-07 | Res=2.3784e-07 | Iters=12 | Step time=0.404s | Total time=3.4s
Step 13/329 | Load err=2.8699e-08 | Res=3.3181e-08 | Iters=3 | Step time=0.101s | Total time=3.5s
Step 14/329 | Load err=5.2678e-08 | Res=7.5350e-08 | Iters=4 | Step time=0.131s | Total time=3.6s
Step 15/329 | Load err=4.9131e-08 | Res=6.1166e-08 | Iters=2 | Step time=0.066s | Total time=3.7s
Step 16/329 | Load err=8.5289e-08 | Res=9.5929e-08 | Iters=3 | Step time=0.101s | Total time=3.8s
Step 17/329 | Load err=9.4698e-08 | Res=9.9904e-08 | Iters=4 | Step time=0.132s | Total time=3.9s
Step 18/329 | Load err=6.8494e-08 | Res=7.5337e-08 | Iters=6 | Step time=0.199s | Total time=4.1s
Step 19/329 | Load err=6.0004e-08 | Res=6.3243e-08 | Iters=12 | Step time=0.398s | Total time=4.5s
Step 20/329 | Load err=6.9536e-08 | Res=7.3366e-08 | Iters=3 | Step time=0.098s | Total time=4.6s
Step 21/329 | Load err=7.0875e-08 | Res=7.4576e-08 | Iters=5 | Step time=0.164s | Total time=4.8s
Step 22/329 | Load err=1.8854e-08 | Res=3.4340e-08 | Iters=4 | Step time=0.131s | Total time=4.9s
Step 23/329 | Load err=8.8082e-08 | Res=8.8082e-08 | Iters=2 | Step time=0.067s | Total time=5.0s
Step 24/329 | Load err=2.5178e-10 | Res=7.7950e-09 | Iters=4 | Step time=0.131s | Total time=5.1s
Step 25/329 | Load err=2.2583e-08 | Res=3.2421e-08 | Iters=3 | Step time=0.098s | Total time=5.2s
Step 26/329 | Load err=8.5849e-08 | Res=9.3464e-08 | Iters=6 | Step time=0.195s | Total time=5.4s
Step 27/329 | Load err=3.0860e-07 | Res=3.0897e-07 | Iters=12 | Step time=0.398s | Total time=5.8s
Step 28/329 | Load err=2.7178e-07 | Res=2.7209e-07 | Iters=12 | Step time=0.400s | Total time=6.2s
Step 29/329 | Load err=3.8884e-08 | Res=3.8932e-08 | Iters=11 | Step time=0.366s | Total time=6.6s
Step 30/329 | Load err=3.5488e-07 | Res=3.5614e-07 | Iters=12 | Step time=0.400s | Total time=7.0s
Step 31/329 | Load err=3.8999e-08 | Res=6.7387e-08 | Iters=7 | Step time=0.231s | Total time=7.2s
Step 32/329 | Load err=2.6775e-08 | Res=4.8479e-08 | Iters=7 | Step time=0.230s | Total time=7.4s
Step 33/329 | Load err=3.3439e-08 | Res=4.1564e-08 | Iters=12 | Step time=0.400s | Total time=7.8s
Step 34/329 | Load err=5.6116e-07 | Res=5.6252e-07 | Iters=12 | Step time=0.398s | Total time=8.2s
Step 35/329 | Load err=4.3904e-08 | Res=5.4756e-08 | Iters=6 | Step time=0.198s | Total time=8.4s
Step 36/329 | Load err=1.6515e-08 | Res=3.4399e-08 | Iters=7 | Step time=0.231s | Total time=8.7s
Step 37/329 | Load err=3.1128e-08 | Res=4.7453e-08 | Iters=4 | Step time=0.131s | Total time=8.8s
Step 38/329 | Load err=7.0752e-08 | Res=9.0065e-08 | Iters=2 | Step time=0.066s | Total time=8.9s
Step 39/329 | Load err=5.0622e-08 | Res=6.2603e-08 | Iters=4 | Step time=0.133s | Total time=9.0s
Step 40/329 | Load err=7.9297e-08 | Res=9.6397e-08 | Iters=8 | Step time=0.263s | Total time=9.3s
Step 41/329 | Load err=1.1312e-08 | Res=6.8284e-08 | Iters=5 | Step time=0.165s | Total time=9.4s
Step 42/329 | Load err=5.1654e-08 | Res=7.0419e-08 | Iters=7 | Step time=0.231s | Total time=9.7s
Step 43/329 | Load err=5.3814e-08 | Res=7.2264e-08 | Iters=5 | Step time=0.164s | Total time=9.8s
Step 44/329 | Load err=6.4696e-08 | Res=7.7903e-08 | Iters=4 | Step time=0.131s | Total time=9.9s
Step 45/329 | Load err=7.0343e-08 | Res=7.9500e-08 | Iters=4 | Step time=0.133s | Total time=10.1s
Step 46/329 | Load err=6.6954e-07 | Res=6.7013e-07 | Iters=12 | Step time=0.401s | Total time=10.5s
Step 47/329 | Load err=1.7084e-08 | Res=3.7795e-08 | Iters=6 | Step time=0.199s | Total time=10.7s
Step 48/329 | Load err=1.0470e-06 | Res=1.0637e-06 | Iters=12 | Step time=0.398s | Total time=11.1s
Step 49/329 | Load err=6.7237e-07 | Res=6.7380e-07 | Iters=12 | Step time=0.399s | Total time=11.5s
Step 50/329 | Load err=4.9319e-07 | Res=4.9542e-07 | Iters=12 | Step time=0.400s | Total time=11.9s
Step 51/329 | Load err=3.8236e-08 | Res=7.0407e-08 | Iters=10 | Step time=0.332s | Total time=12.2s
