Optimized EHL Solver Init
Step 1/329 | Load err=1.0138e-06 | Res=9.2939e-08 | Iters=9 | Step time=0.284s | Total time=0.3s
Step 2/329 | Load err=1.0014e-08 | Res=9.2749e-10 | Iters=7 | Step time=0.221s | Total time=0.5s
Step 3/329 | Load err=1.0557e-06 | Res=9.7929e-08 | Iters=2 | Step time=0.063s | Total time=0.6s
Step 4/329 | Load err=3.4923e-07 | Res=3.2161e-08 | Iters=2 | Step time=0.064s | Total time=0.6s
Step 5/329 | Load err=1.0463e-06 | Res=9.6125e-08 | Iters=2 | Step time=0.064s | Total time=0.7s
Step 6/329 | Load err=4.3132e-07 | Res=3.9623e-08 | Iters=2 | Step time=0.064s | Total time=0.8s
Step 7/329 | Load err=1.6596e-07 | Res=1.5686e-08 | Iters=2 | Step time=0.064s | Total time=0.8s
Step 8/329 | Load err=4.7246e-07 | Res=4.3326e-08 | Iters=3 | Step time=0.096s | Total time=0.9s
Step 9/329 | Load err=1.8297e-08 | Res=4.5611e-09 | Iters=2 | Step time=0.064s | Total time=1.0s
Step 10/329 | Load err=6.0542e-07 | Res=5.5720e-08 | Iters=2 | Step time=0.064s | Total time=1.0s
Step 11/329 | Load err=4.1173e-07 | Res=3.7766e-08 | Iters=2 | Step time=0.064s | Total time=1.1s
Step 12/329 | Load err=4.4072e-07 | Res=4.2696e-08 | Iters=2 | Step time=0.064s | Total time=1.2s
Step 13/329 | Load err=5.9332e-07 | Res=5.4586e-08 | Iters=2 | Step time=0.064s | Total time=1.2s
Step 14/329 | Load err=4.7251e-07 | Res=4.3362e-08 | Iters=2 | Step time=0.064s | Total time=1.3s
Step 15/329 | Load err=1.0161e-07 | Res=9.9654e-09 | Iters=4 | Step time=0.127s | Total time=1.4s
Step 16/329 | Load err=6.2894e-07 | Res=5.7691e-08 | Iters=3 | Step time=0.095s | Total time=1.5s
Step 17/329 | Load err=4.3452e-07 | Res=4.0421e-08 | Iters=2 | Step time=0.063s | Total time=1.6s
Step 18/329 | Load err=2.9132e-07 | Res=2.6846e-08 | Iters=2 | Step time=0.063s | Total time=1.7s
Step 19/329 | Load err=7.5060e-07 | Res=6.8853e-08 | Iters=2 | Step time=0.063s | Total time=1.7s
Step 20/329 | Load err=7.4563e-07 | Res=6.8389e-08 | Iters=3 | Step time=0.094s | Total time=1.8s
Step 21/329 | Load err=2.2881e-07 | Res=2.1157e-08 | Iters=2 | Step time=0.063s | Total time=1.9s
Step 22/329 | Load err=1.3292e-07 | Res=1.2364e-08 | Iters=2 | Step time=0.063s | Total time=1.9s
Step 23/329 | Load err=6.9928e-08 | Res=6.6809e-09 | Iters=2 | Step time=0.063s | Total time=2.0s
