S	    L	      F	    E
7.225	1.8453	3.966	0.1
7.225	1.8453	2.436	0.3
7.225	1.8453	2.04	0.03
5.159	2.5847	3.669	0.3
5.159	2.5847	2.254	0.4
5.159	2.5847	1.887	0.7
4.171	3.1970	3.327	0.1
4.171	3.1970	2.044	1
4.171	3.1970	1.711	0.3
4	3.3333	2.991	1
4	3.3333	1.837	0.3
4	3.3333	1.538	0.06
11.674	1.1423	3.966	0.1
11.674	1.1423	2.436	0.6
11.674	1.1423	2.04	0.01
8.335	1.5997	3.669	0.1
8.335	1.5997	2.254	0.6
8.335	1.5997	1.887	0.01
6.739	1.9787	3.327	0.1
6.739	1.9787	2.044	1
6.739	1.9787	1.711	0.03
5.788	2.3037	2.991	0.01
5.788	2.3037	1.837	0.01
5.788	2.3037	1.538	1
